==================================================
PÁGINA: 1.INCOME STATEMENT
==================================================
,,,,,,,,,,,,,,,,,,
,CellImage,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,📚,Testis Meta Frances,
,,,,,,,,,,,,,,,,📚,Tesis Meta Espanol,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,,,,
,"Income Statement (millons ,excepto EPS)",,,,,,,,,,,,,,,,,
,Sales,70697,85965,117929,116609,134902,164501,200650,267022.7856028737,309746.4312993335,359305.8603072269,416794.7979563832,483481.9656294045,560839.0801301092,,,,
,    Y/Y Growth %,#VALUE!,0.21596390228722576,0.3718257430349561,-0.011193175554782962,0.15687468377226457,0.21941112807816043,0.21974942401565947,0.33078886420570003,0.16,0.16,0.16,0.16,0.16,COMPANY GROWTH,0.16,,0.19543861760558057
,Advertising,55013,69655,84169,114934,113194,131948,160633,196175,,,,,,,,,
,Other revenue,825,1042,1796,2995,3415,1058,1722,2584,0.1,0.1,0.1,0.1,0.1,INNOVATION RATE,0.1,,2004.6666666666667
,Reality Labs,0,0,0,0,0,1896,2146,2207,,,,,,,,,
,    Industry revenue,283300,325000,378160,521020,602250,681390,756470,820240,,,,,,,,,
,    Market share,0.24954818213907518,0.26450769230769233,0.31184948170086735,0.22380906683044796,0.2239966791199668,0.24141974493315135,0.26524515182360175,0.32554226275586867,0.1,0.1,0.1,0.1,0.1,MARKET GROWTH,0.1,,0.25513796945262124
,EBITDA,29727,39533,54720,37630,57929,84878,101400.6,134425.28053730106,142627.27326984482,165447.63699302002,191919.25891190322,222626.34033780772,258246.55479185696,,,,
,    EBITDA margin %,0.42048460330707105,0.45987320421101613,0.4640080048164574,0.32270236431150257,0.42941542749551526,0.5159725472793478,0.5053605781211065,0.5034225084342554,0.4604646215665753,0.46046462156657536,0.46046462156657536,0.4604646215665753,0.46046462156657536,,,,
,Depreciation & Amortization Expense,5741,6862,7967,8686,11178,15498,18540.6,24156.115249216746,28021.093689091424,32504.46867934605,37705.18366804142,43738.013054928044,50736.095143716535,,,,
,EBIT ,23986,32671,46753,28944,46751,69380,82860,110269.16528808432,114606.1795807534,132943.16831367396,154214.0752438618,178888.32728287968,207510.45964814042,,,,
,    EBIT margin %,0.3392788944368219,0.3800500203571221,0.39645040660058173,0.24821411726367604,0.3465552771641636,0.42176035404040096,0.41295788686768004,0.4129578868676801,0.37,0.37000000000000005,0.37,0.37,0.37,MARGEN EBIT,0.37,,0.36360956524720667
,Interest expense/ Income (introducir en negativo si es un ingreso) ,-826,-509,-531,125,-677,-1283,-2398.4,4480,5196.8,6028.2880000000005,6992.81408,8111.6643328,9409.530626048,,,,
,,,,,,,,,,,,,,,,,,
,Pretax Income,24812,33180,47284,28819,47428,70663,85258.4,105789.16528808432,109409.3795807534,126914.88031367396,147221.26116386178,170776.66295007968,198100.92902209243,,,,
,Income Taxes,6327,4034,7914,5619,8330,8303,22888,15000,13129.125549690409,15229.785637640874,17666.551339663412,20493.199554009563,23772.11148265109,,,,
,   tax rate,0.2549975818152507,0.12157926461723931,0.16737162676592504,0.19497553697213643,0.17563464620055663,0.11750137978857393,0.26845448659604215,0.1417914581247721,0.12,0.12,0.12,0.12,0.12,TAX RATE,0.12,,0.1891415123893273
,Consolidated Net Income,18485,29146,39370,23200,39098,62360,62370.399999999994,90789.16528808432,96280.254031063,111685.09467603308,129554.70982419836,150283.46339607012,174328.81753944134,,,,
,Minority Interest,,,,,,,,,0,0,0,0,0,,,,
,Net Income,18485,29146,39370,23200,39098,62360,62370.399999999994,90789.16528808432,96280.254031063,111685.09467603308,129554.70982419836,150283.46339607012,174328.81753944134,,,,
,    Margen beneficio neto %,0.2614679547929898,0.3390449601582039,0.3338449405998525,0.19895548371051977,0.28982520644616094,0.3790858414234564,0.310841764266135,0.340005311093973,0.3108357169029639,0.3108357169029639,0.3108357169029639,0.3108357169029639,0.31083571690296397,,,,
,Net income per share ( EPS ),6.427329624478443,10.092105263157896,13.770549143057012,8.586232420429312,14.871814378090528,23.856159143075747,24.193328161365397,35.40919082998608,38.171885752006716,45.01176193482972,53.07724972354227,62.58796183748914,73.80286257058096,SHARES REPOURCHASE,-0.016270735270534353,,-0.016270735270534353
,Fully diluted shares  (millions),2876,2888,2859,2702,2629,2614,2578,2564,2522.28183476635,2481.242454755189,2440.8708156318567,2401.1560527611373,2362.0874782834194,,-41.71816523364987,,
,,#VALUE!,12,-29,-157,-73,-15,-36,-14,-55.71816523364987,-41.03938001116103,-40.37163912333244,-39.71476287071937,-39.0685744777179,,,,


==================================================
PÁGINA: 2.FLUJOS DE CAJA
==================================================
,,,,,,,,,,,,,,,,,
,CellImage,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,,,
,"Cash flow Statement (millones ,excepto EPS)",,,,,,,,,,,,,,,,
,EBITDA,29727,39533,54720,37630,57929,84878,101400.6,134425.28053730106,142627.27326984482,165447.63699302002,191919.25891190322,222626.34033780772,258246.55479185696,,,
,Capex (introducir manual),15102,15115,18567,30941,27045,37256,72000,135000,165000,140250,126225,119914,119914,,CAPEX,-0.078
,Ajuste leases,,,,,,,,,0,0,0,0,0,,,
,Intereses,-826,-509,-531,125,-677,-1283,-2398.4,4480,5196.8,6028.2880000000005,6992.81408,8111.6643328,9409.530626048,,,
,Tasas,6327,4034,7914,5619,8330,8303,22888,15000,13129.125549690409,15229.785637640874,17666.551339663412,20493.199554009563,23772.11148265109,,,
,Minoritarios (si procede),,,,,,,,,0,0,0,0,0,,,
,Flujo de caja libre,9124,20893,28770,945,23231,40602,8911.000000000007,-20054.719462698937,-40698.652279845584,3939.5633553791413,41034.89349223981,74107.47645099815,105150.91268315788,,,
,Flujo de caja libre por accion,3.1724617524339362,7.234418282548477,10.06295907660021,0.34974093264248707,8.836439710916698,15.532517214996174,3.456555469356093,-7.821653456590849,-16.13564817335953,1.5877381703787738,16.81157938775113,30.86324871129491,44.51609588971419,,,


==================================================
PÁGINA: 3.RETORNOS CAPITAL
==================================================
,,,,,,,,,,,,,,,,,
,CellImage,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,,,
,"Retornos capital (millones ,excepto EPS)",,,,,,,,,,,,,,,,
,EBIT,23986,32671,46753,28944,46751,69380,82860,110269.16528808432,114606.1795807534,132943.16831367396,154214.0752438618,178888.32728287968,207510.45964814042,CRECIMIENTO,0.16,
,Interest,-826,-509,-531,125,-677,-1283,-2398.4,4480,5196.8,6028.2880000000005,6992.81408,8111.6643328,9409.530626048,,,
,Tasas,6327,4034,7914,5619,8330,8303,22888,15000,13129.125549690409,15229.785637640874,17666.551339663412,20493.199554009563,23772.11148265109,,,
,Net income,18485,29146,39370,23200,39098,62360,62370.399999999994,90789.16528808432,96280.254031063,111685.09467603308,129554.70982419836,150283.46339607012,174328.81753944134,,,
,(+) Cash and cash equivalents,19079,17576,16601,14681,41862,43889,10187,18000,20880,24220.8,28096.128,32591.50848,37806.1498368,,,
,(+) Deuda financiera total ,,,,9923,18385,28826,28834,28834,33447.44,38799.0304,45006.875264,52207.975306240005,60561.251355238404,,,
,(+) Deuda leases,,,,,,,,,0,0,0,0,0,,,
,(+) Goodwill ,18715,19050,19197,20306,20654,20654,21158,24748,28707.68,33300.9088,38629.054207999994,44809.70288127999,51979.25534228479,,,
,(+) Equity,101054,128290,124879,125713,153168,182637,194066,243000,281880,326980.8,379297.728,439985.36448,510383.0227968,,,
,(+) Current Assets,66225,75670,66666,59549,85365,100045,73118,,0,0,0,0,0,,,
,(+) Non-current Assets,67151,83646,99061,126178,144258,176009,230726,,0,0,0,0,0,,,
,(+) Available Assets,31882,30402,19953,18851,48982,51736,,,0,0,0,0,0,,,
,(+) Realizable assets,54855,61954,47998,40738,65403,77815,44448,,0,0,0,0,0,,,
,(+) Clients,9518,11335,14039,13466,16169,16994,17297,,0,0,0,0,0,,,
,(+) Current Liabilities,15053,14981,21135,27026,31960,33596,36958,,0,0,0,0,0,,,
,(+) Non-current Liabilities,17269,16045,19973,32988,44495,63821,72820,,0,0,0,0,0,,,
,(+) Accounts payable,1363,1331,4083,4990,4849,7687,7798,,0,0,0,0,0,,,
,(+) Inventory,,,,,,,,,0,0,0,0,0,,,
,Capital empleado con goodwill,81975,110714,108278,120955,129691,167574,212713,253834,294447.44,341559.0304,396208.475264,459601.83130624,533138.1243152383,,,
,Capital empleado sin goodwill,63260,91664,89081,100649,109037,146920,191555,229086,265739.76,308258.1216,357579.421056,414792.12842496,481158.86897295364,,,
,,,,,,,,,,,,,,,,,
,ROE ( net income / equity ),0.18292200209788825,0.22718840127835374,0.31526517669103693,0.18454734196145187,0.25526219575890524,0.34144231453648494,0.3213875691774963,0.37361796414849513,0.34156468721109334,0.3415646872110934,0.34156468721109334,0.3415646872110934,0.3415646872110934,,,
